"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H5900","Local CCP","Local PPO","WELLMARK ADVANTAGE HEALTH PLAN, INC.","Wellmark Advantage Health Plan","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","01/01/2022","Yes","241","16624","16865"
"H5902","National PACE","National PACE","SENIOR LIFE ALTOONA, INC.","Senior LIFE Altoona / Ebensburg / Indiana","Senior LIFE Altoona, Inc.","05/01/2011","Yes","*","523","523"
"H5926","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare of Michigan","Molina Healthcare, Inc.,","01/01/2006","Yes","*","14315","14315"
"H5928","Local CCP","HMO/HMOPOS","California Physicians' Service","Blue Shield of California","California Physicians' Service","01/01/2007","Yes","*","12867","12867"
"H5932","Local CCP","HMO/HMOPOS","GATEWAY HEALTH PLAN, INC.","Highmark Wholecare Medicare Assured","Highmark Health","01/01/2006","Yes","*","40533","40533"
"H5934","National PACE","National PACE","HOPE HOSPICE AND COMMUNITY SERVICES, INC.","Hope PACE","Hope Hospice and Community Services, Inc.","03/01/2008","Yes","*","477","477"
"H5937","Local CCP","HMO/HMOPOS","UCARE MINNESOTA","UCare","UCare Minnesota","01/01/2017","Yes","*","8650","8650"
"H5938","Local CCP","HMO/HMOPOS","CAPITAL HEALTH PLAN","Capital Health Plan","Guidewell Mutual Holding Corporation","01/01/2006","Yes","*","23775","23775"
"H5943","Local CCP","HMO/HMOPOS","SCAN HEALTH PLAN","VillageHealth","SCAN Group","01/01/2006","Yes","*","827","827"
"H5945","Local CCP","HMO/HMOPOS","PROMINENCE HEALTHFIRST","Prominence Health Plan","Universal Health Services, Inc.","01/01/2015","Yes","*","20551","20551"
"H5959","Local CCP","Local PPO","BCBSM, Inc.","Blue Cross and Blue Shield of Minnesota","Aware Integrated, Inc.","01/01/2018","Yes","12411","155616","168027"
"H5965","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON","Wellcare","Centene Corporation","01/01/2020","Yes","238","2655","2893"
"H5969","Local CCP","HMO/HMOPOS","ALOHACARE","AlohaCare","AlohaCare","01/01/2006","Yes","*","2272","2272"
"H5970","Local CCP","Local PPO","HUMANA INSURANCE COMPANY OF NEW YORK","Humana","Humana Inc.","01/01/2010","Yes","5167","121226","126393"
"H5978","National PACE","National PACE","SENIOR LIFE LEHIGH VALLEY, INC.","Senior LIFE Lehigh Valley / Reading","Senior LIFE Lehigh Valley, Inc.","02/01/2009","Yes","*","529","529"
"H5989","Local CCP","HMO/HMOPOS","HEALTHFIRST HEALTH PLAN, INC.","Healthfirst Medicare Plan","Healthfirst, Inc.","01/01/2007","Yes","*","29059","29059"
"H5991","Local CCP","HMO/HMOPOS","HEALTH INSURANCE PLAN OF GREATER NEW YORK","EmblemHealth","EmblemHealth, Inc.","01/01/2007","Yes","*","2041","2041"
"H5992","Local CCP","HMO/HMOPOS","SENIOR WHOLE HEALTH OF NEW YORK, INC.","Senior Whole Health of New York","Molina Healthcare, Inc.,","01/01/2007","Yes","*","321","321"
"H5995","Local CCP","HMO/HMOPOS","ATRIO HEALTH PLANS","ATRIO Health Plans","ATRIO Health Plans","01/01/2006","Yes","*","2250","2250"
"H6018","Local CCP","Local PPO","DEVOTED HEALTH INSURANCE COMPANY OF PENNSYLVANIA INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","1465","1465"
"H6019","Local CCP","HMO/HMOPOS","SAN MATEO HEALTH COMMISSION","HEALTH PLAN OF SAN MATEO","Health Plan of San Mateo","01/01/2023","Yes","*","8635","8635"
"H6053","HCPP - 1833 Cost","HCPP - 1833 Cost","SANTE FE EMPLOYEES HOSPITAL ASSOCIATION","Santa Fe Employes Hospital Assn. - Coast Lines","Sante Fe Employees Hospital Assn.","01/01/1987","No","793","*","793"
"H6059","National PACE","National PACE","PACE OF GUILFORD AND ROCKINGHAM COUNTIES, INC.","PACE OF THE TRIAD","Well-Spring Services, Inc.","06/01/2011","Yes","*","212","212"
"H6067","Local CCP","HMO/HMOPOS","CAREFIRST ADVANTAGE, INC.","CareFirst BlueCross BlueShield Medicare Advantage","CareFirst, Inc.","01/01/2021","Yes","*","3194","3194"
"H6078","Local CCP","Local PPO","Group Retiree Health Solutions, Inc.","Blue Medicare Advantage","Elevance Health, Inc.","01/01/2021","Yes","10292","3479","13771"
"H6079","National PACE","National PACE","TOTAL LONGTERM CARE, INC.","InnovAge California PACE","Total Community Options, Inc.","03/01/2014","Yes","*","1143","1143"
"H6080","Demo","Medicare-Medicaid Plan HMO/HMOPOS","MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Meridian Medicare-Medicaid Plan (MMP)","Centene Corporation","02/01/2014","Yes","*","16570","16570"
"H6130","MSA","MSA","FENYX HEALTH INSURANCE COMPANY","Fenyx Health","Fenyx Health Holdings, Inc.","01/01/2024","No","26","*","26"
"H6142","HCPP - 1833 Cost","HCPP - 1833 Cost","UNION HEALTH SERVICES, INC.","Union Health Service, Inc.","Union Health Services, Inc.","02/01/1983","No","1750","*","1750"
"H6147","National PACE","National PACE","LOMA LINDA UNIVERSITY MEDICAL CENTER","Loma Linda University Health PACE","Loma Linda University Medical Center","01/01/2024","Yes","*","*","*"
"H6154","Local CCP","HMO/HMOPOS","MEDICA HEALTH PLANS","Medica","Medica Holding Company","01/01/2018","Yes","*","1142","1142"
"H6158","Local CCP","HMO/HMOPOS","USABLE HMO, INC.","Arkansas Blue Medicare","USAble Mutual Insurance Company","01/01/2021","Yes","*","11774","11774"
"H6170","Local CCP","HMO/HMOPOS","CHAMPION HEALTH PLAN OF CALIFORNIA INC","Champion Heath Plan","Champion Health Plans-USA, LLC.","01/01/2024","Yes","*","*","*"
"H6188","National PACE","National PACE","VIECARE ARMSTRONG, LLC","LIFE Armstrong","Lutheran SeniorLife","04/01/2015","Yes","*","92","92"
"H6193","Local CCP","HMO/HMOPOS","WELLCARE HEALTH PLANS OF MASSACHUSETTS, INC.","Wellcare","Centene Corporation","01/01/2022","Yes","*","2193","2193"
"H6200","Local CCP","Local PPO","ESSENCE HEALTHCARE PPO, INC.","Essence Healthcare","Lumeris Group Holdings Corporation","01/01/2023","Yes","*","9526","9526"
"H6202","Local CCP","Local PPO","NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY","NextBlue of North Dakota","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","01/01/2021","Yes","602","12631","13233"
"H6231","National PACE","National PACE","FRANCISCAN PACE, INC.","PACE Baton Rouge","Franciscan Missionaries of Our Lady Health System","07/01/2008","Yes","*","254","254"
"H6237","Local CCP","HMO/HMOPOS","REGENCE BLUECROSS BLUESHIELD OF OREGON","Regence BlueCross BlueShield of Oregon","Cambia Health Solutions, Inc.","01/01/2014","Yes","156","7831","7987"
"H6248","Local CCP","HMO/HMOPOS","COMMUNITY HEALTH GROUP","Community Health Group","Community Health Group","01/01/2024","Yes","*","127","127"
"H6306","Local CCP","HMO/HMOPOS","FIRSTCAROLINACARE INSURANCE COMPANY","FirstMedicare Direct","The Carle Foundation","01/01/2013","Yes","68","5078","5146"
"H6316","Local CCP","HMO/HMOPOS","MISSOURI CARE, INCORPORATED","Healthy Blue","Elevance Health, Inc.","01/01/2020","Yes","*","30","30"
"H6317","National PACE","National PACE","WELBEHEALTH BAY AREA PACE, LLC","WelbeHealth","WelbeHealth LLC.","01/01/2024","Yes","*","*","*"
"H6322","Local CCP","HMO/HMOPOS","MCLAREN HEALTH PLAN, INC.","McLaren Medicare","McLaren Health Care Corporation","01/01/2022","Yes","*","1726","1726"
"H6328","Local CCP","Local PPO","CARE N' CARE INSURANCE COMPANY, INC.","Care N' Care Insurance Company","Texas Health Resources","01/01/2009","Yes","207","7150","7357"
"H6334","HCPP - 1833 Cost","HCPP - 1833 Cost","NY HOTEL TRADES COUNCIL & HOTEL ASSOCIATION OF NYC","NY Hotel Trades Council and Hotel Assn. of NYC","NY Hotel Trades Council&Hotel Assn of NYC","01/01/1987","No","5003","*","5003"
"H6342","National PACE","National PACE","COMPLETE HEALTH WITH PACE","Baptist Health PACE","Baptist Health (Arkansas)","06/01/2016","Yes","*","93","93"
"H6345","Local CCP","HMO/HMOPOS","PRUITTHEALTH PREMIER NORTH CAROLINA, LLC","PruittHealth Premier","UNICO Services, Inc.","01/01/2019","Yes","*","674","674"
"H6348","Local CCP","Local PPO","COORDINATED CARE CORPORATION","Wellcare by Allwell","Centene Corporation","01/01/2018","Yes","104","1617","1721"
"H6351","Local CCP","HMO/HMOPOS","LIBERTY ADVANTAGE, LLC","Liberty Medicare Advantage","Liberty Healthcare Insurance","01/01/2018","Yes","*","952","952"
"H6371","National PACE","National PACE","LUTHERAN SENIOR HEALTHCARE, INC.","Lutheran Senior LIFE","Lutheran Social Ministries of New Jersey","07/01/2010","Yes","*","94","94"
"H6378","Local CCP","HMO/HMOPOS","AMERIHEALTH CARITAS FLORIDA INC","AmeriHealth Caritas VIP Care (HMO-D-SNP)","Independence Health Group, Inc.","01/01/2023","Yes","*","53","53"
"H6379","Local CCP","HMO/HMOPOS","CLEAR SPRING HEALTH (CO), INC.","Clear Spring Health","Group 1001","01/01/2020","Yes","*","786","786"
"H6396","Local CCP","HMO/HMOPOS","CARESOURCE OHIO, INC.","CareSource","CareSource","01/01/2017","Yes","*","3530","3530"
"H6399","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH INC. (NJ)","Aetna Better Health of New Jersey","CVS Health Corporation","01/01/2021","Yes","*","6163","6163"
"H6408","Local CCP","HMO/HMOPOS","MOUNT CARMEL HEALTH PLAN OF CONNECTICUT INC","Trinity Health Plan Of New England","Trinity Health Corporation","01/01/2023","Yes","*","89","93"
"H6425","National PACE","National PACE","WASHINGTON REGIONAL MEDICORP","PACE of the Ozarks","Washington Regional Medical System","02/01/2019","Yes","*","94","94"
"H6446","Local CCP","HMO/HMOPOS","SILVERSUMMIT HEALTHPLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2020","Yes","*","3124","3124"
"H6453","Local CCP","HMO/HMOPOS","HMO LOUISIANA, INC.","Blue Cross and Blue Shield of Louisiana","Louisiana Health Service & Indemnity Company","01/01/2016","Yes","*","31530","31530"
"H6474","Local CCP","HMO/HMOPOS","RENAL PAYER SOLUTIONS INC","Champion Health Plan","Champion Health Plans-USA, LLC.","01/01/2024","Yes","*","*","*"
"H6502","Local CCP","Local PPO","MISSOURI VALLEY LIFE AND HEALTH INSURANCE COMPANY","Blue Medicare Advantage","Blue Cross and Blue Shield of Kansas City","01/01/2018","Yes","257","29007","29264"
"H6526","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF NEW MEXICO, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2018","Yes","*","2023","2023"
"H6529","Local CCP","HMO/HMOPOS","SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","MyTruAdvantage","SIHO Holding, Inc.","01/01/2021","Yes","*","854","854"
"H6541","National PACE","National PACE","HORIZON-PACE, LLC","Horizon - PACE","American Health Management, Inc.","09/01/2022","Yes","*","78","78"
"H6545","Local CCP","Local PPO","DEVOTED HEALTH INSURANCE COMPANY OF ILLINOIS INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","2555","2555"
"H6550","Local CCP","HMO/HMOPOS","SUNFLOWER STATE HEALTH PLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2018","Yes","*","2341","2341"
"H6551","National PACE","National PACE","LIFE ST. MARY","LIFE St. Mary","Trinity Health Corporation","03/01/2010","Yes","*","243","243"
"H6586","Local CCP","Local PPO","DEVOTED HEALTH INSURANCE COMPANY OF ARIZONA, INC.","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","79","1916","1995"
"H6594","Local CCP","Local PPO","WELLCARE HEALTH PLANS OF VERMONT, INC.","Wellcare","Centene Corporation","01/01/2021","Yes","*","3195","3195"
"H6595","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2019","Yes","*","20214","20214"
"H6596","National PACE","National PACE","FALLON HEALTH WEINBERG, INC.","Fallon Health Weinberg","Fallon Community Health Plan, Inc.","09/01/2015","Yes","*","132","132"
"H6605","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE OF HAWAII, INC.","Wellcare by ‘Ohana Health Plan","Centene Corporation","01/01/2022","Yes","412","621","1033"
"H6622","Local CCP","HMO/HMOPOS","HUMANA WI HEALTH ORGANIZATION INSURANCE CORP","Humana","Humana Inc.","01/01/2011","Yes","*","406713","406713"
"H6652","Local CCP","HMO/HMOPOS","AMERICAN HEALTH PLAN OF FL, INC.","American Health Advantage of Florida","Mitchell Family Office","01/01/2021","Yes","*","*","*"
"H6672","Local CCP","HMO/HMOPOS","CLEAR SPRING HEALTH (GA), INC.","Clear Spring Health","Group 1001","01/01/2017","Yes","*","632","632"
"H6678","Local CCP","HMO/HMOPOS","CENTENE VENTURE INSURANCE COMPANY TEXAS","Wellcare by Allwell","Centene Corporation","01/01/2022","Yes","*","1537","1537"
"H6706","Local CCP","HMO/HMOPOS","UnitedHealthcare Benefits of Texas, Inc.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2021","Yes","*","447","447"
"H6713","Local CCP","Local PPO","WELLCARE OF ILLINOIS, INC.","Wellcare","Centene Corporation","01/01/2021","Yes","*","12333","12333"
"H6723","Local CCP","HMO/HMOPOS","MEDICAL MUTUAL OF OHIO","Medical Mutual of Ohio","MEDICAL MUTUAL OF OHIO","01/01/2016","Yes","*","33303","33303"
"H6727","Local CCP","Local PPO","PHP MEDICARE","PHP Medicare","University of Michigan Health","01/01/2024","Yes","*","68","68"
"H6743","Local CCP","Local PPO","ATRIO HEALTH PLANS","ATRIO Health Plans","ATRIO Health Plans","01/01/2011","Yes","796","21324","22120"
"H6750","Local CCP","HMO/HMOPOS","HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.","Point32Health, Inc.","01/01/2014","Yes","*","10114","10114"
"H6759","National PACE","National PACE","Senior CommUnity Care Of Kentucky","Senior CommUnity Care of Kentucky","Volunteers of America National Services","05/01/2023","Yes","*","19","19"
"H6765","Local CCP","HMO/HMOPOS","AMERICAN HEALTH PLAN OF IOWA INC","Iowa Health Advantage","Mitchell Family Office","01/01/2023","Yes","*","835","835"
"H6776","Local CCP","HMO/HMOPOS","ELDERSERVE HEALTH, INC.","RiverSpring Health Plans","RiverSpring Living Holding Corp.","01/01/2016","Yes","*","398","398"
"H6787","National PACE","National PACE","VOANS SENIOR COMMUNITY CARE OF MICHIGAN, INC.","Senior Community Care of Michigan","Volunteers of America National Services","04/01/2015","Yes","*","190","190"
"H6813","Local CCP","Local PPO","DEVOTED HEALTH INSURANCE COMPANY OF TEXAS INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","1470","1470"
"H6815","Local CCP","HMO/HMOPOS","HEALTH NET HEALTH PLAN OF OREGON, INC.","Wellcare by Health Net","Centene Corporation","01/01/2011","Yes","*","15418","15418"
"H6830","Local CCP","Local PPO","CENTENE VENTURE COMPANY KANSAS","Wellcare by Allwell","Centene Corporation","01/01/2021","Yes","*","377","377"
"H6832","Local CCP","HMO/HMOPOS","ALIGN SENIOR CARE MI, LLC","Align Senior Care","Innovative Long Term Care Management, Inc.","01/01/2020","Yes","*","665","665"
"H6846","National PACE","National PACE","CAREPARTNERS REHABILITATION HOSPITAL, LLLP","CarePartners PACE","HCA Healthcare, Inc.","03/01/2015","Yes","*","196","196"
"H6847","Local CCP","HMO/HMOPOS","Mass General Brigham Health Plan, Inc.","Mass General Brigham Health Plan","Mass General Brigham Incorporated","01/01/2023","Yes","*","523","523"
"H6851","Local CCP","HMO/HMOPOS","BOSTON MEDICAL CENTER HEALTH PLAN, INC.","WellSense Health Plan","BMC Health System, Inc.","01/01/2022","Yes","*","1302","1302"
"H6852","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF PENNSYLVANIA INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","913","913"
"H6868","National PACE","National PACE","BOLDAGE PACE KENTUCKY, LLC","BoldAge PACE Kentucky, LLC","Beacon Care Ventures LLC DBA BoldAge PACE","02/01/2024","Yes","*","*","*"
"H6870","Demo","Medicare-Medicaid Plan HMO/HMOPOS","SUPERIOR HEALTHPLAN, INC.","Superior HealthPlan","Centene Corporation","03/01/2015","Yes","*","5873","5873"
"H6874","Local CCP","Local PPO","ASPIRUS HEALTH PLAN, INC.","Aspirus Health Plan","Aspirus, Inc.","01/01/2021","Yes","359","1135","1494"
"H6876","Local CCP","Local PPO","ZING HEALTH OF MICHIGAN, INC.","Zing Health","Zing Health Consolidator, Inc","01/01/2024","Yes","*","846","846"
"H6887","National PACE","National PACE","INSPIRA HEALTH NETWORK LIFE, INC.","Inspira Health Network LIFE","Inspira Health Network, Inc.","08/01/2011","Yes","*","238","238"
"H6891","Local CCP","HMO/HMOPOS","AMERICAN HEALTH PLAN OF TX, INC.","American Health Advantage of Texas","Mitchell Family Office","01/01/2021","Yes","*","558","558"
"H6898","Local CCP","Local PPO","VERMONT BLUE ADVANTAGE, INC.","Vermont Blue Advantage","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","01/01/2021","Yes","370","13619","13989"
"H6910","Local CCP","HMO/HMOPOS","MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.","Saint Alphonsus Health Plan","Trinity Health Corporation","01/01/2020","Yes","218","2186","2404"
"H6941","National PACE","National PACE","LIFE PACE","LIFE PACE, INC.","LIFE Senior Services, Inc.","01/01/2015","Yes","*","219","219"
"H6959","Local CCP","HMO/HMOPOS","ISNP VENTURES, LLC","KeyCare Advantage","ISNP Holdings, LLC","01/01/2020","Yes","*","498","498"
"H6975","Local CCP","HMO/HMOPOS","WELLCARE OF ALABAMA, INC.","Wellcare","Centene Corporation","01/01/2019","Yes","*","1874","1874"
"H6988","Local CCP","HMO/HMOPOS","CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living","Centers Plan for Healthy Living, LLC","01/01/2014","Yes","*","2853","2853"
"H7003","National PACE","National PACE","PACE NEBRASKA","Immanuel Pathways Omaha","Immanuel","03/01/2013","Yes","*","194","194"
"H7006","Local CCP","Local PPO","ATRIO HEALTH PLANS","ATRIO Health Plans","ATRIO Health Plans","01/01/2010","Yes","55","8078","8133"
"H7020","Local CCP","HMO/HMOPOS","CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.","Cigna Healthcare","The Cigna Group","01/01/2014","Yes","289","5390","5679"
"H7028","Local CCP","Local PPO","DEVOTED HEALTH INSURANCE COMPANY OF SOUTH CAROLINA INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","3484","3484"
"H7063","Local CCP","Local PPO","BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC.","Blue Cross and Blue Shield of Kansas","Blue Cross Blue Shield of Kansas","01/01/2020","Yes","35","4285","4320"
"H7074","Local CCP","Local PPO","ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC","01/01/2022","Yes","*","79","79"
"H7093","Local CCP","Local PPO","COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","01/01/2022","Yes","2804","10415","13219"
"H7114","National PACE","National PACE","VALIR PACE","Valir PACE","Valir PACE, LLC.","01/01/2015","Yes","*","278","278"
"H7115","Local CCP","HMO/HMOPOS","MEMORIAL HERMANN HEALTH PLAN","Memorial Hermann Health Plan","Memorial Hermann Health System","01/01/2015","Yes","70","9347","9417"
"H7123","Local CCP","HMO/HMOPOS","UPMC HEALTH COVERAGE, INC.","UPMC for Life Complete Care","UPMC Health System","01/01/2020","Yes","*","951","951"
"H7147","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF COLORADO INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","5067","5067"
"H7149","Local CCP","HMO/HMOPOS","AETNA HEALTH INC. (PA)","Aetna Medicare","CVS Health Corporation","01/01/2008","Yes","330","14506","14836"
"H7151","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF ILLINOIS, INC.","Devoted Health","Devoted Health, Inc.","01/01/2022","Yes","*","8529","8529"
"H7163","Local CCP","HMO/HMOPOS","PRIMEWELL HEALTH SERVICES OF MISSISSIPPI, INC.","Primewell Health Services","Louisiana Health Service & Indemnity Company","01/01/2021","Yes","*","412","412"
"H7165","Local CCP","HMO/HMOPOS","BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA","Blue Cross Blue Shield of South Carolina","BlueCross BlueShield of South Carolina (BCBSSC)","01/01/2018","Yes","*","47","47"
"H7169","Local CCP","Local PPO","BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, INC.","Wellcare","Centene Corporation","01/01/2022","Yes","*","2034","2034"
"H7172","Demo","Medicare-Medicaid Plan HMO/HMOPOS","AETNA BETTER HEALTH INC. (OH)","Aetna Better Health of Ohio, MyCare Ohio","CVS Health Corporation","05/01/2014","Yes","*","13319","13319"
"H7175","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC.","Wellcare","Centene Corporation","01/01/2020","Yes","204","7667","7871"
"H7195","National PACE","National PACE","NORTHLAND PACE PROGRAM","Northland PACE Senior Care Services","Northland Healthcare Alliance","08/01/2008","Yes","*","178","178"
"H7199","Local CCP","Local PPO","DEVOTED HEALTH  PLAN OF OREGON","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","2861","2861"
"H7220","Local CCP","HMO/HMOPOS","INDIANA UNIVERSITY HEALTH PLANS NFP, INC.","Indiana University Health Plans","Indiana University Health","01/01/2009","Yes","499","18539","19038"
"H7245","Local CCP","HMO/HMOPOS","PREMERA BLUE CROSS","Premera Blue Cross Medicare Advantage","Premera","01/01/2014","Yes","*","32881","32881"
"H7262","National PACE","National PACE","TRU COMMUNITY CARE","TRU PACE","TRU Community Care","02/01/2017","Yes","*","291","291"
"H7273","Local CCP","Local PPO","BANNER HEALTH INSURANCE GROUP","Banner Medicare Advantage","Banner Health","01/01/2021","Yes","*","261","261"
"H7284","Local CCP","Local PPO","HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.","Humana","Humana Inc.","01/01/2019","Yes","*","33374","33374"
"H7301","Local CCP","Local PPO","COVENTRY HEALTH CARE OF ILLINOIS, INC.","Aetna Medicare","CVS Health Corporation","01/01/2008","Yes","*","83644","83644"
"H7323","Local CCP","Local PPO","WELLCARE NATIONAL HEALTH INSURANCE COMPANY","Wellcare","Centene Corporation","01/01/2020","Yes","*","5837","5837"
"H7326","Local CCP","Local PPO","WELLCARE OF SOUTH CAROLINA, INC.","Wellcare","Centene Corporation","01/01/2018","Yes","*","17037","17037"
"H7330","Local CCP","HMO/HMOPOS","ZING HEALTH, INC.","Zing Health","Zing Health Consolidator, Inc","01/01/2020","Yes","*","3799","3799"
"H7360","Local CCP","Local PPO","HEALTH NET OF CALIFORNIA, INC.","Wellcare by Health Net","Centene Corporation","01/01/2022","Yes","*","1161","1161"
"H7366","National PACE","National PACE","CONCERTOHEALTH PACE OF LOS ANGELES, LLC","InnovAge California PACE - Crenshaw","Total Community Options, Inc","07/01/2022","Yes","*","16","16"
"H7379","Local CCP","Local PPO","CAREFIRST ADVANTAGE PPO, INC.","CareFirst BlueCross BlueShield Medicare Advantage","CareFirst, Inc.","01/01/2022","Yes","2138","3763","5901"
"H7389","Local CCP","HMO/HMOPOS","CIGNA HEALTH AND LIFE INSURANCE COMPANY","Cigna Healthcare","The Cigna Group","01/01/2022","Yes","*","2525","2525"
"H7399","Local CCP","HMO/HMOPOS","CENTENE VENTURE COMPANY ILLINOIS","Wellcare by Allwell","Centene Corporation","01/01/2020","Yes","*","802","802"
"H7404","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2019","Yes","4819","81593","86412"
"H7419","Demo","Medicare-Medicaid Plan HMO/HMOPOS","TUFTS HEALTH PUBLIC PLANS, INC.","Tufts Health Plan","Point32Health, Inc.","10/01/2013","Yes","*","9112","9112"
"H7464","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2018","Yes","*","63587","63587"
"H7469","National PACE","National PACE","PACE PARTNERS OF NORTHEAST FLORIDA, INC.","PACE Partners of Northeast Florida","Community Hospice of Northeast Florida, Inc.","02/01/2020","Yes","*","108","108"
"H7501","National PACE","National PACE","ORANGE COUNTY HEALTH AUTHORITY","CalOptima PACE","Orange County Health Authority","09/01/2013","Yes","*","220","220"
"H7511","Local CCP","HMO/HMOPOS","GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC.","Great Plains Medicare Advantage","Sanford Health","01/01/2018","Yes","*","535","535"
"H7512","Local CCP","Local PPO","CENTENE VENTURE COMPANY MICHIGAN","Ascension Complete","Centene Corporation","01/01/2022","Yes","*","*","*"
"H7518","Local CCP","Local PPO","WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC","Wellcare","Centene Corporation","01/01/2020","Yes","1148","2459","3607"
"H7522","Local CCP","Local PPO","MMM HEALTHCARE, LLC","Medicare y Mucho Mas","Elevance Health, Inc.","01/01/2016","Yes","*","658","658"
"H7524","Local CCP","HMO/HMOPOS","EXCELLUS HEALTH PLAN COMMUNITY CARE LLC","Excellus Health Plan Community Care LLC","Lifetime Healthcare, Inc.","01/01/2023","Yes","*","20","20"
"H7557","Local CCP","HMO/HMOPOS","LONGEVITY HEALTH PLAN OF MICHIGAN, INC.","Longevity Health Plan","Longevity Health Founders, LLC","01/01/2021","Yes","*","778","778"
"H7559","Local CCP","HMO/HMOPOS","Molina Healthcare of Virginia, LLC","Molina Healthcare of Virginia","Molina Healthcare, Inc.,","01/01/2020","Yes","*","1761","1761"
"H7598","Local CCP","HMO/HMOPOS","GROUP HEALTH COOPERATIVE OF EAU CLAIRE","Group Health Cooperative of Eau Claire","Group Health Cooperative of Eau Claire","01/01/2021","Yes","*","31","31"
"H7605","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF TENNESSEE INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","3110","3110"
"H7607","Local CCP","HMO/HMOPOS","CLEVER CARE OF GOLDEN STATE, INC.","Clever Care Health Plan","Clever Care Health Plan, Inc.","01/01/2021","Yes","*","19902","19902"
"H7617","Local CCP","Local PPO","EMPHESYS INSURANCE COMPANY","Humana","Humana Inc.","01/01/2020","Yes","2961","8371","11332"
"H7619","National PACE","National PACE","ATLANTICARE HEALTH SERVICES, INC.","AtlantiCare LIFE Connection","AtlantiCare Health Services, Inc.","10/01/2017","Yes","*","142","142"
"H7621","Local CCP","HMO/HMOPOS","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana","Humana Inc.","01/01/2019","Yes","*","5389","5389"
"H7646","Local CCP","HMO/HMOPOS","PHP MEDICARE","PHP Medicare","University of Michigan Health","01/01/2020","Yes","53","9206","9259"
"H7660","National PACE","National PACE","VIECARE BEAVER, LLC","LIFE Beaver and Lawrence Counties","Lutheran SeniorLife","11/01/2008","Yes","*","402","402"
"H7670","Local CCP","HMO/HMOPOS","CENTRAL MASS HEALTH, LLC","Mass Advantage","Central Mass Health Holding LLC","01/01/2022","Yes","*","1285","1285"
