"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H2261","Local CCP","HMO/HMOPOS","BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","Blue Cross and Blue Shield of Massachusetts, Inc.","01/01/1996","Yes","*","13417","13417"
"H2272","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2023","Yes","*","398","398"
"H2292","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2019","Yes","*","9360","9360"
"H2293","Local CCP","Local PPO","SILVERSCRIPT INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation","01/01/2023","Yes","984","115259","116243"
"H2318","National PACE","National PACE","PACE SOUTHEAST MICHIGAN","PACE Southeast Michigan","Henry Ford Health System","11/01/2003","Yes","*","1620","1620"
"H2320","Local CCP","HMO/HMOPOS","PRIORITY HEALTH","Priority Health Medicare","Corewell Health","07/01/2005","Yes","*","156960","156960"
"H2322","Local CCP","Local PPO","ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","Henry Ford Health System","08/01/2005","Yes","*","11310","11310"
"H2334","Local CCP","Local PPO","CLEAR SPRING HEALTH (SC), INC.","Clear Spring Health","Group 1001","01/01/2017","Yes","*","33","33"
"H2354","Local CCP","HMO/HMOPOS","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","Henry Ford Health System","04/01/1997","Yes","24835","43777","68612"
"H2368","National PACE","National PACE","INNOVAGE CALIFORNIA PACE-SACRAMENTO, LLC","InnovAge California PACE - Sacramento","Total Community Options, Inc.","07/01/2020","Yes","*","198","198"
"H2384","National PACE","National PACE","SEQUOIA PACE, LLC","WelbeHealth","WelbeHealth LLC.","07/01/2020","Yes","*","484","484"
"H2386","National PACE","National PACE","APPALACHIAN AGENCY FOR SENIOR CITIZENS, INC.","Appalachian Agency for Senior Citizens, Inc,","Appalachian Agency for Senior Citizens, Inc.","05/01/2008","Yes","*","123","123"
"H2392","Local CCP","HMO/HMOPOS","KANSAS SUPERIOR SELECT, INC.","Kansas Health Advantage","Kansas Superior Select","01/01/2018","Yes","*","795","795"
"H2400","Local CCP","HMO/HMOPOS","SIGNATURE ADVANTAGE, LLC","Signature Advantage (HMO SNP)","SA Plan, LLC","01/01/2016","Yes","*","1036","1036"
"H2406","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","06/01/2001","Yes","15087","692600","707687"
"H2416","Local CCP","HMO/HMOPOS","PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE","PrimeWest Health","PrimeWest Rural MN Health Care Access Initiative","07/01/2005","Yes","*","1865","1865"
"H2417","Local CCP","HMO/HMOPOS","ITASCA MEDICAL CARE","Itasca Medical Care/IMCare Classic","Itasca County","06/01/2005","Yes","*","342","342"
"H2419","Local CCP","HMO/HMOPOS","SOUTH COUNTRY HEALTH ALLIANCE","South Country Health Alliance","South Country Health Alliance","08/01/2005","Yes","*","1253","1253"
